Reference; Quantity; Value; Footprint; Datasheet
C101 ;1;"100uF";"Capacitor_THT:CP_Radial_D5.0mm_P2.50mm";"~"
C102 ;1;"10uF";"Capacitor_THT:CP_Radial_D5.0mm_P2.50mm";"~"
C103 ;1;"1000nF";"Capacitor_THT:CP_Radial_D5.0mm_P2.50mm";"~"
C1601 C1602 ;2;"33pF";"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm";"~"
C201 C202 C203 C204 C205 C206 C207 C208 C209 C210 C211 C212 C401 C402 C403 C404 C405 C406 C501 C502 C503 C504 C601 C602 C603 C604 C701 C702 C703 C704 C801 C802 C803 C804 C805 C806 C807 C808 C809 C901 C902 C903 C904 C1001 C1002 C1003 C1004 C1101 C1102 C1103 C1104 C1301 C1302 C1303 C1304 C1305 C1306 C1307 C1308 C1401 C1402 C1403 C1404 C1405 C1406 C1501 C1603 C1604 C1605 ;69;"100nF";"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm";"~"
C505 ;1;"C";"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm";"~"
J101 ;1;"Barrel_Jack";"Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal";"~"
J1201 ;1;"PannelPowerConnector";"Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical";"~"
J1301 J1302 J1303 J1701 J1702 J1703 ;6;"Conn_01x16";"Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical";"~"
J1401 ;1;"InputDataSwitches";"Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical";"~"
J1402 ;1;"InputAddressSwitches";"Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical";"~"
J1501 ;1;"PannelButtonsConnector";"Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical";"~"
J1601 ;1;"Conn_02x12";"Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical";"~"
J1704 ;1;"Conn_01x07";"Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical";"~"
R1501 R1502 R1503 R1504 R1505 R1506 R1507 R1508 R1603 ;9;"1k5";"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";"~"
R1601 ;1;"1M";"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";"~"
R1602 ;1;"470";"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";"~"
R501 ;1;"R";"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";"~"
U1001 ;1;"74HC30";"Package_DIP:DIP-14_W7.62mm";"http://www.ti.com/lit/gpn/sn74HC30"
U1002 ;1;"74HC08";"Package_DIP:DIP-14_W7.62mm";"http://www.ti.com/lit/gpn/sn74HC08"
U1004 ;1;"74HC10";"Package_DIP:DIP-14_W7.62mm";"http://www.ti.com/lit/gpn/sn74HC10"
U1101 U1102 ;2;"SST39SF020";"Package_DIP:DIP-32_W15.24mm_Socket";"http://ww1.microchip.com/downloads/en/DeviceDoc/25022B.pdf"
U1103 U1104 ;2;"IS61C256";"Package_DIP:DIP-28_W7.62mm";""
U1301 U1302 U1303 U1304 U1305 U1306 U1307 U1308 U1601 ;9;"74HC04";"Package_DIP:DIP-14_W7.62mm";"https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf"
U1502 ;1;"74HC14";"Package_DIP:DIP-14_W7.62mm";"http://www.ti.com/lit/gpn/sn74HC14"
U1602 ;1;"74HC4040";"Package_DIP:DIP-16_W7.62mm";""
U201 U202 U203 U204 U804 U807 U1003 ;7;"74HC02";"Package_DIP:DIP-14_W7.62mm";"http://www.ti.com/lit/gpn/sn74hc02"
U205 U206 U207 U208 ;4;"74HC283";"Package_DIP:DIP-16_W7.62mm";"http://www.ti.com/lit/gpn/cd74HC283"
U209 U210 U211 U212 ;4;"74HC257";"Package_DIP:DIP-16_W7.62mm";"http://www.ti.com/lit/gpn/sn74HC257"
U401 U402 U403 U404 U501 U502 U503 U504 U601 U602 U603 U604 U701 U702 U703 U704 ;16;"74HC173";"Package_DIP:DIP-16_W7.62mm";"http://www.ti.com/lit/gpn/cd74HC173"
U405 U406 U1401 U1402 U1403 U1404 U1405 U1406 ;8;"74HC244";"Package_DIP:DIP-20_W7.62mm";"https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf"
U801 ;1;"74HC21";"Package_DIP:DIP-12_W7.62mm";"http://www.ti.com/lit/gpn/sn74HC21"
U803 U809 U1501 ;3;"74HC00";"Package_DIP:DIP-14_W7.62mm";"http://www.ti.com/lit/gpn/sn74hc00"
U805 U806 ;2;"74HC27";"Package_DIP:DIP-14_W7.62mm";"http://www.ti.com/lit/gpn/sn74HC27"
U802 U808 ;2;"74HC20";"Package_DIP:DIP-12_W7.62mm";"http://www.ti.com/lit/gpn/sn74HC20"
U901 U904 ;2;"74HC74";"Package_DIP:DIP-14_W7.62mm";"74xx/74hc_hct74.pdf"
U902 ;1;"74HC175";"Package_DIP:DIP-16_W7.62mm";"http://www.ti.com/lit/gpn/sn74HC175"
U903 ;1;"74HC112";"Package_DIP:DIP-16_W7.62mm";"http://www.ti.com/lit/gpn/sn74HC112"
Y1601 ;1;"8MHz";"Crystal:Crystal_HC52-U_Vertical";"~"
